product_id,title,description
sanic-plugin-toolkit,sanic-plugin-toolkit,The all-in-one toolkit for creating powerful Sanic Plugins
wagtail,wagtail,A Django content management system.
google-cloud-compute,google-cloud-compute,Google Cloud Compute API client library
envparse,envparse,Simple environment variable parsing
td-client,td-client,Treasure Data API library for Python
wsgi-request-logger,wsgi-request-logger,Apache-like combined logging for WSGI Web Applications
instant-api-client,instant-api-client,"Create API wrappers/clients in minutes, enjoying both blocking and async interfaces from one codebase!"
google-cloud-retail,google-cloud-retail,Google Cloud Retail API client library
qiniu,qiniu,Qiniu Resource Storage SDK
django-rq,django-rq,An app that provides django integration for RQ (Redis Queue)
google-analytics-data,google-analytics-data,Google Analytics Data API client library
executor,executor,Programmer friendly subprocess wrapper
gsheets,gsheets,Pythonic wrapper for the Google Sheets API
djangorestframework-xml,djangorestframework-xml,XML support for Django REST Framework
drf-writable-nested,drf-writable-nested,Writable nested helpers for django-rest-framework's serializers
readability-lxml,readability-lxml,fast html to text parser (article readability tool) with python 3 support
django-postgres-extra,django-postgres-extra,Bringing all of PostgreSQL's awesomeness to Django.
sharepy,sharepy,Simple SharePoint Online authentication for Python
pydictionary,PyDictionary,A real dictionary module for Python
django-sekizai,django-sekizai,Django Sekizai
multipart,multipart,Parser for multipart/form-data
pylogbeat,pylogbeat,"Simple, incomplete implementation of the Beats protocol used by Elastic Beats and Logstash."
djangorestframework-dataclasses,djangorestframework-dataclasses,A dataclasses serializer for Django REST Framework
sqlalchemy-continuum,SQLAlchemy-Continuum,Versioning and auditing extension for SQLAlchemy.
django-recaptcha,django-recaptcha,Django recaptcha form field/widget app.
robotframework-httpctrl,robotframework-httpctrl,robotframework-httpctrl is a library for Robot Framework that provides HTTP/HTTPS client and HTTP server services.
django-enumfields,django-enumfields,Real Python Enums for Django.
infinity,infinity,All-in-one infinity value for Python. Can be compared to any object.
ec2instanceconnectcli,ec2instanceconnectcli,Command Line Interface for AWS EC2 Instance Connect
discord-py-interactions,discord-py-interactions,"Easy, simple, scalable and modular: a Python API wrapper for interactions."
djangosaml2idp,djangosaml2idp,SAML 2.0 Identity Provider for Django
django-graphql-jwt,django-graphql-jwt,JSON Web Token for Django GraphQL.
django-bulk-update,django-bulk-update,Bulk update using one query over Django ORM.
dnspython3,dnspython3,A DNS toolkit for Python 3.x
rabbitpy,rabbitpy,"A pure python, thread-safe, minimalistic and pythonic RabbitMQ client library"
pubnub,pubnub,PubNub Real-time push service in the cloud
django-cache-memoize,django-cache-memoize,Django utility for a memoization decorator that uses the Django cache framework.
flask-seasurf,Flask-SeaSurf,An updated CSRF extension for Flask.
django-mathfilters,django-mathfilters,A set of simple math filters for Django
fred,fred,St. Louis Federal Reserve FRED API
py-vapid,py-vapid,Simple VAPID header generation library
intervals,intervals,Python tools for handling intervals (ranges of comparable objects).
docarray,docarray,The data structure for multimodal data
whois,whois,Python package for retrieving WHOIS information of domains.
netsuitesdk,netsuitesdk,Python SDK for accessing the NetSuite SOAP webservice
lomond,lomond,Websocket Client Library
ipwhois,ipwhois,Retrieve and parse whois data for IPv4 and IPv6 addresses.
graphene-file-upload,graphene-file-upload,Lib for adding file upload functionality to GraphQL mutations in Graphene Django and Flask-Graphql
certbot-apache,certbot-apache,Apache plugin for Certbot
aiohttp-sse,aiohttp-sse,Server-sent events  support for aiohttp.
pymobiledetect,pymobiledetect,Detect mobile and tablet browsers
justext,jusText,Heuristic based boilerplate removal tool
flask-babelex,Flask-BabelEx,Adds i18n/l10n support to Flask applications
tinytag,tinytag,Read audio file metadata
crispy-bootstrap5,crispy-bootstrap5,Bootstrap5 template pack for django-crispy-forms
bootstrap-flask,Bootstrap-Flask,Bootstrap 4 & 5 helper for your Flask projects.
discord-together,discord-together,Utilize the BETA Discord VC Party Games feature!
zappa,zappa,Server-less Python Web Services for AWS Lambda and API Gateway
google-cloud-runtimeconfig,google-cloud-runtimeconfig,Google Cloud RuntimeConfig API client library
flask-pymongo,Flask-PyMongo,PyMongo support for Flask applications
djangorestframework-gis,djangorestframework-gis,Geographic add-ons for Django Rest Framework
certbot-nginx,certbot-nginx,Nginx plugin for Certbot
asyncpool,asyncpool,Async coroutine worker pool
publicsuffix,publicsuffix,Get a public suffix for a domain name using the Public Suffix List.
pyshorteners,pyshorteners,A Python lib to wrap and consume the most used shorteners APIs
pytest-httpx,pytest-httpx,Send responses to httpx.
mod-wsgi,mod-wsgi,Installer for Apache/mod_wsgi.
gcloud-aio-auth,gcloud-aio-auth,Python Client for Google Cloud Auth
times,times,"Times is a small, minimalistic, Python library for dealing with time conversions between universal time and arbitrary timezones."
advertools,advertools,Digital Marketing productivity and analysis tools.
scrapy-fake-useragent,scrapy-fake-useragent,Use a random User-Agent provided by fake-useragent for every request
django-admin-list-filter-dropdown,django-admin-list-filter-dropdown,Use dropdowns in Django admin list filter
django-filer,django-filer,A file management application for django that makes handling of files and images a breeze.
selenium-stealth,selenium-stealth,Trying to make python selenium more stealthy.
python-redmine,python-redmine,Library for communicating with a Redmine project management application
emails,emails,Modern python library for emails.
xenon,xenon,Monitor code metrics for Python on your CI server
pastescript,PasteScript,"A pluggable command-line frontend, including commands to setup package file layouts"
genshi,Genshi,A toolkit for generation of output for the web
censys,censys,An easy-to-use and lightweight API wrapper for Censys APIs (censys.io).
python-designateclient,python-designateclient,OpenStack DNS-as-a-Service - Client
python-logstash-async,python-logstash-async,Asynchronous Python logging handler for Logstash.
letsencrypt,letsencrypt,ACME client
pyramid-tm,pyramid-tm,A package which allows Pyramid requests to join the active transaction
scrapy-crawlera,scrapy-crawlera,Crawlera middleware for Scrapy
django-rest-passwordreset,django-rest-passwordreset,"An extension of django rest framework, providing a configurable password reset strategy"
flask-sockets,Flask-Sockets,Elegant WebSockets for your Flask apps.
scim2-filter-parser,scim2-filter-parser,A customizable parser/transpiler for SCIM2.0 filters.
django-dotenv,django-dotenv,foreman reads from .env. manage.py doesn't. Let's fix that.
django-test-migrations,django-test-migrations,"Test django schema and data migrations, including ordering"
django-crum,django-crum,Django middleware to capture current request and user.
django-rest-framework,django-rest-framework,alias.
djangosaml2,djangosaml2,pysaml2 integration for Django
django-extra-fields,django-extra-fields,Additional fields for Django Rest Framework.
django-cryptography,django-cryptography,Easily encrypt data in Django
pychalk,pychalk,Color printing in python
iocextract,iocextract,Advanced Indicator of Compromise (IOC) extractor.
flask-security,Flask-Security,Quickly add security features to your Flask application.
imgviz,imgviz,Image Visualization Tools
drf-extra-fields,drf-extra-fields,Additional fields for Django Rest Framework.
h2o-wave,h2o-wave,Python driver for H2O Wave Realtime Apps
flask-mongoengine,flask-mongoengine,Flask-MongoEngine is a Flask extension that provides integration with MongoEngine and WTF model forms.
django-split-settings,django-split-settings,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and optional settings files.
plantuml,plantuml,"###Python-PlantUML

[Plantuml](http://plantuml.sourceforge.net/index.html) is a library for
generating UML diagrams from a simple text markup language.

This is a simple python remote client interface to a
[plantuml](http://plantuml.sourceforge.net/index.html) server using the
same custom encoding used by most other plantuml
[clients](http://plantuml.sourceforge.net/running.html). Python was
missing from the list, and while there are other plantuml python
libraries, like
[sphinxcontrib-plantuml](https://pypi.python.org/pypi/sphinxcontrib-plantuml),
they require downloading and installing the java executable and spawning
a shell subprocesses.

This client defaults to the public [plantuml server](http://www.plantuml.com/plantuml/),
but can be used against any server.

###Install

    pip install git+https://github.com/SamuelMarks/python-plantuml#egg=plantuml

PS: At some point this newer version will be uploaded to PyPi, at which point you can do:

    pip install plantuml

###Command line help:

    usage: plantuml.py [-h] [-o OUT] [-s SERVER] filename [filename ...]

    Generate images from plantuml defined files using plantuml server

    positional arguments:
      filename              file(s) to generate images from

    optional arguments:
      -h, --help            show this help message and exit
      -o OUT, --out OUT     directory to put the files into
      -s SERVER, --server SERVER
                            server to generate from, defaults to plantuml.com

###Project Links:

-   [Documentation](http://pythonhosted.org/plantuml/)
-   [PyPi](https://pypi.python.org/pypi/plantuml)
-   [GitHub](https://github.com/dougn/python-plantuml/)"
chatterbot,ChatterBot,"ChatterBot is a machine learning, conversational dialog engine"
webdavclient3,webdavclient3,"WebDAV client, based on original package https://github.com/designerror/webdav-client-python but uses requests instead of PyCURL"
solrq,solrq,Python Solr query utility
django-cms,django-cms,Lean enterprise content management powered by Django.
dj-static,dj-static,Serve production static files with Django.
clickhouse-cityhash,clickhouse-cityhash,"Python-bindings for CityHash, a fast non-cryptographic hash algorithm"
flask-cache,Flask-Cache,Adds cache support to your Flask application
dblpy,dblpy,A simple API wrapper for top.gg written in Python.
validator-collection,validator-collection,Collection of 60+ Python functions for validating data
google-oauth2-tool,google-oauth2-tool,Create OAuth2 key file from OAuth2 client id file
django-jinja,django-jinja,Jinja2 templating language integrated in Django.
fnvhash,fnvhash,Pure Python FNV hash implementation.
domain2idna,domain2idna,The tool to convert a domain or a file with a list of domain to the famous IDNA format.
courlan,courlan,"Clean, filter and sample URLs to optimize data collection – includes spam, content type and language filters."
pecan,pecan,"A WSGI object-dispatching web framework, designed to be lean and fast, with few dependencies."
wtforms-components,WTForms-Components,"Additional fields, validators and widgets for WTForms."
apeye,apeye,Handy tools for working with URLs and APIs.
django-q,django-q,A multiprocessing distributed task queue for Django
httplib2shim,httplib2shim,A wrapper over urllib3 that matches httplib2's interface
pykeyboard,pykeyboard,Best Keyboard and Pagination for the Pyrogram Library.
recurly,recurly,Recurly v4
spyne,spyne,A transport and architecture agnostic rpc library that focuses on exposing public services with a well-defined API.
python-status,python-status,HTTP Status for Humans
gcloud-aio-storage,gcloud-aio-storage,Python Client for Google Cloud Storage
django-rest-knox,django-rest-knox,Authentication for django rest framework
flask-sslify,Flask-SSLify,Force SSL on your Flask app.
emoji-country-flag,emoji-country-flag,En/Decode unicode country flags emoji
pyocclient,pyocclient,Python client library for ownCloud
cloudsmith-cli,cloudsmith-cli,Cloudsmith Command-Line Interface (CLI)
ciscoconfparse,ciscoconfparse,"Parse, Audit, Query, Build, and Modify Cisco IOS-style and JunOS-style configs"
instaloader,instaloader,Download pictures (or videos) along with their captions and other metadata from Instagram.
sqreen,sqreen,Sqreen agent to protect Python applications.
flask-pydantic,Flask-Pydantic,Flask extension for integration with Pydantic library.
djangocms-admin-style,djangocms-admin-style,Adds pretty CSS styles for the django CMS admin interface.
buttons,buttons,"A simple to use, interactive session and paginator with custom buttons for discord.py."
wsme,WSME,"Simplify the writing of REST APIs, and extend them with additional protocols."
fido2,fido2,FIDO2/WebAuthn library for implementing clients and servers.
sse-starlette,sse-starlette,SSE plugin for Starlette
djangorestframework-jsonapi,djangorestframework-jsonapi,A Django REST framework API adapter for the JSON:API spec.
jinja2schema,jinja2schema,Type inference for Jinja2 templates.
metrohash-python,metrohash-python,Python bindings for MetroHash
flask-sock,flask-sock,WebSocket support for Flask
django-ninja,django-ninja,Django Ninja - Fast Django REST framework
djangorestframework-filters,djangorestframework-filters,Better filtering for Django REST Framework
pymacaroons,pymacaroons,Macaroon library for Python
djangorestframework-recursive,djangorestframework-recursive,Recursive Serialization for Django REST framework
ebaysdk,ebaysdk,eBay SDK for Python
certbot-dns-route53,certbot-dns-route53,Route53 DNS Authenticator plugin for Certbot
django-summernote,django-summernote,Summernote plugin for Django
amazoncaptcha,amazoncaptcha,"""Pure Python, lightweight, Pillow-based solver for the Amazon text captcha."""
flask-simplelogin,flask_simplelogin,Flask Simple Login - Login Extension for Flask
demjson3,demjson3,"encoder, decoder, and lint/validator for JSON (JavaScript Object Notation) compliant with RFC 7159"
amqpstorm,AMQPStorm,Thread-safe Python RabbitMQ Client & Management library.
flask-smorest,flask-smorest,Flask/Marshmallow-based REST API framework
env,env,Environment Variables for Humans
wtforms-json,WTForms-JSON,Adds smart json support for WTForms. Useful for when using WTForms with RESTful APIs.
fanstatic,fanstatic,Flexible static resources for web applications
jina,jina,"Multimodal AI services & pipelines with cloud-native stack: gRPC, Kubernetes, Docker, OpenTelemetry, Prometheus, Jaeger, etc."
ldap,ldap,Placeholder for the ldap name
flask-json,Flask-JSON,Better JSON support for Flask
veracode-api-signing,veracode-api-signing,Easily sign any request destined for the Veracode API Gateway
tailbone,Tailbone,Backoffice Web Application for Rattail
pyfunceble,PyFunceble,"The tool to check the availability or syntax of domain, IP or URL."
dj-inmemorystorage,dj-inmemorystorage,A non-persistent in-memory data storage backend for Django.
twitter,twitter,An API and command-line toolset for Twitter (twitter.com)
drf-spectacular-sidecar,drf-spectacular-sidecar,Serve self-contained distribution builds of Swagger UI and Redoc with Django
django-parler,django-parler,"Simple Django model translations without nasty hacks, featuring nice admin integration."
ftputil,ftputil,High-level FTP client library (virtual file system and more)
pysmartdl,pySmartDL,A Smart Download Manager for Python
pyrabbit,pyrabbit,A Pythonic interface to the RabbitMQ Management HTTP API
django-memoize,django-memoize,An implementation of memoization technique for Django.
topggpy,topggpy,A simple API wrapper for Top.gg written in Python.
apache-bookkeeper-client,apache-bookkeeper-client,Apache BookKeeper client library
http3,http3,The next generation HTTP client.
amqplib,amqplib,AMQP Client Library
markdown-include,markdown-include,A Python-Markdown extension which provides an 'include' function
seleniumbase,seleniumbase,A complete web automation framework for end-to-end testing.
aws-wsgi,aws-wsgi,WSGI adapter for AWS API Gateway/Lambda Proxy Integration
pyexcel-webio,pyexcel-webio,A generic request and response interface for pyexcel web extensions.
pylons,Pylons,Pylons Web Framework
flask-redis,flask-redis,A nice way to use Redis in your Flask app
flask-jwt,Flask-JWT,JWT token authentication for Flask apps
feedgen,feedgen,"Feed Generator (ATOM, RSS, Podcasts)"
rockset,rockset,The python client for the Rockset API.
behave-django,behave-django,Behave BDD integration for Django
bleach-allowlist,bleach-allowlist,Curated lists of tags and attributes for sanitizing html
django-session-security,django-session-security,Client and server side session timeout with warnings
webhelpers,WebHelpers,Web Helpers
cmreshandler,CMRESHandler,Elasticsearch Log handler for the logging library
aspen,aspen,A filesystem router for Python web frameworks
mohawk,mohawk,Library for Hawk HTTP authorization
django-simple-captcha,django-simple-captcha,"A very simple, yet powerful, Django captcha application"
pyld,PyLD,Python implementation of the JSON-LD API
weberror,WebError,Web Error handling and exception catching
django-rest-slack,django-rest-slack,"A simple, reusable Django app for handling and storing Slack events and slash commands."
django-revproxy,django-revproxy,Yet another Django reverse proxy application
aioquic,aioquic,An implementation of QUIC and HTTP/3
ibm-watson-machine-learning,ibm-watson-machine-learning,IBM Watson Machine Learning API Client
django-guid,django-guid,Middleware that enables single request-response cycle tracing by injecting a unique ID into project logs
django-cachalot,django-cachalot,Caches your Django ORM queries and automatically invalidates them.
flup,flup,Random assortment of WSGI servers (py3)
javascriptpy,javascriptpy,This package lets you use Javascript like objects in python.
django-defender,django-defender,redis based Django app that locks out users after too many failed login attempts.
djangorestframework-bulk,djangorestframework-bulk,Django REST Framework bulk CRUD view mixins
mimerender,mimerender,"RESTful HTTP Content Negotiation for Flask, Bottle, web.py and webapp2 (Google App Engine)"
fastapi-sqlalchemy,FastAPI-SQLAlchemy,Adds simple SQLAlchemy support to FastAPI
ipcalc,ipcalc,IP subnet calculator
django-sass-processor,django-sass-processor,"SASS processor to compile SCSS files into *.css, while rendering, or offline."
djangocms-attributes-field,djangocms-attributes-field,Adds attributes to Django models.
phonetics,phonetics,Compute phonetic key of strings for indexing or fuzzy matching
chatterbot-voice,chatterbot-voice,A voice interface adapter for ChatterBot.
fastapi-jwt-auth,fastapi-jwt-auth,"FastAPI extension that provides JWT Auth support (secure, easy to use and lightweight)"
sqlalchemy-api-handler,SQLAlchemy-Api-Handler,Adds SQLAlchemy support to your Flask application for handle apis.
tftpy,tftpy,A TFTP protocol library for Python
panda,panda,A Python implementation of the Panda REST interface
arcgis,arcgis,ArcGIS API for Python
ultimate-hosts-blacklist-whitelist-dev,ultimate-hosts-blacklist-whitelist-dev,The whitelisting tool of the Ultimate Hosts Blacklist project.
ultimate-hosts-blacklist-helpers,ultimate-hosts-blacklist-helpers,The helpers classes/functions of the Ultimate Hosts Blacklist project.
ultimate-hosts-blacklist-test-launcher,ultimate-hosts-blacklist-test-launcher,The test launcher of the Ultimate-Hosts-Blacklist project.
flask-gzip,Flask-gzip,Compress responses in your Flask app with gzip.
django-jazzmin,django-jazzmin,"Drop-in theme for django admin, that utilises AdminLTE 3 & Bootstrap 4 to make yo' admin look jazzy"
djangorestframework-guardian,djangorestframework-guardian,django-guardian support for Django REST Framework
frozen-flask,Frozen-Flask,Freezes a Flask application into a set of static files.
python-openid,python-openid,OpenID support for servers and consumers.
c2cgeoportal-admin,c2cgeoportal-admin,c2cgeoportal admin
c2cgeoportal-commons,c2cgeoportal-commons,c2cgeoportal commons
twitter-ads,twitter-ads,A Twitter supported and maintained Ads API SDK for Python.
wkhtmltopdf,wkhtmltopdf,Simple python wrapper for wkhtmltopdf
starlette-prometheus,starlette-prometheus,Prometheus integration for Starlette
bottle-websocket,bottle-websocket,WebSockets for bottle
relevanceai,relevanceai,"## Relevance AI - The home of your AI Workforce

🔥 Use Relevance to build AI agents for your AI workforce

[Sign up for a free account ->](https://app.relevanceai.com)

## 🧠 Documentation

| Type      | Link |
| ------------- | ----------- |
| Home Page | [Home Page](https://relevanceai.com/) |
| Platform | [Platform](https://app.relevanceai.com/) |
| Developer Documentation | [Documentation](https://sdk.relevanceai.com/) |

# Relevance AI SDK

Welcome to the Relevance AI SDK! This guide will help you set up and start using the SDK to interact with your AI agents, tools, and knowledge.

## Installation

To get started, you'll need to install the RelevanceAI library in a Python 3 environment. Run the following command in your terminal:

```bash
pip install relevanceai
```

## Create an Account

Before using the SDK, ensure you have an account with Relevance AI.

1. Sign up for a free account at [Relevance AI](https://app.relevanceai.com) and log in.
2. Create a new secret key at [SDK Login](https://app.relevanceai.com/login/sdk). Scroll to the bottom of the integrations page, click on ""+ Create new secret key,"" and select ""Admin"" permissions.

## Set Up Your Client

To interact with Relevance AI, you'll need to set up a client. Start by importing the library:

```python
from relevanceai import RelevanceAI
client = RelevanceAI()
```

### Validate Client Credentials

You can validate your client credentials by storing them as environment variables and loading them into your project using `python-dotenv` or the `os` library:

```env
RAI_API_KEY=
RAI_REGION=
RAI_PROJECT=
```

```python
from dotenv import load_dotenv
load_dotenv()

from relevanceai import RelevanceAI
client = RelevanceAI()
```

Alternatively, pass the credentials directly to the client:

```python
from relevanceai import RelevanceAI
client = RelevanceAI(
    api_key=""your_api_key"", 
    region=""your_region"", 
    project=""your_project""
)
```

You are now ready to start using Relevance AI via the Python SDK.

## Quickstart

### Using Agents & Tasks

List all the agents in your project:

```python
from relevanceai import RelevanceAI
client = RelevanceAI()

agents = client.agents.list_agents()
print(agents)
# Example output: [Agent(agent_id=""xxxxxxxx"", name=""Sales Qualifier""), ...]
```

Retrieve and interact with a specific agent:

```python
my_agent = client.agents.retrieve_agent(agent_id=""xxxxxxxx"")

message = ""Let's qualify this lead:\n\nName: Ethan Trang\n\nCompany: Relevance AI\n\nEmail: ethan@relevanceai.com""

# Trigger a task with the agent
task = my_agent.trigger_task(message=message)
print(f""Task started with ID: {task.conversation_id}"")

# View task progress
steps = my_agent.view_task_steps(conversation_id=task.conversation_id)
```

### Using Tools

List all the tools in your project:

```python
tools = client.tools.list_tools()
print(tools)
# Example output: [Tool(tool_id=""xxxxxxxx"", title=""Search Website""), ...]
```

Retrieve and interact with a specific tool:

```python
my_tool = client.tools.retrieve_tool(tool_id=""xxxxxxxx"")

# Check tool parameters schema
params_schema = my_tool.get_params_schema()

# Trigger the tool
result = my_tool.trigger(params={""search_query"": ""AI automation""})
```

### Managing Knowledge Sets

Work with knowledge sets to store and retrieve data:

```python
# List knowledge sets
knowledge_sets = client.knowledge.list_knowledge()

# Retrieve data from a knowledge set
data = client.knowledge.retrieve_knowledge(knowledge_set=""my_dataset"")
```

### Managing Tasks

Track and manage ongoing tasks:

```python
# Get task metadata
metadata = client.tasks.get_metadata(conversation_id=""xxxxxxxx"")

# Delete a completed task
client.tasks.delete_task(conversation_id=""xxxxxxxx"")
```

## Explore More

Explore all the methods available for agents, tasks, tools, and knowledge with the [documentation](https://sdk.relevanceai.com/)"
dj-email-url,dj-email-url,Use an URL to configure email backend settings in your Django Application.
flask-weasyprint,flask_weasyprint,Make PDF in your Flask app with WeasyPrint
rq-dashboard,rq-dashboard,"rq-dashboard is a general purpose, lightweight, web interface to monitor your RQ queues, jobs, and workers in realtime."
avisdk,avisdk,"Avi python API SDK for Avi Controller REST API with samples and, utilities"
wsgiproxy2,WSGIProxy2,A WSGI Proxy with various http client backends
flask-discord,Flask-Discord,Discord OAuth2 extension for Flask.
globus-sdk,globus-sdk,Globus SDK for Python
zdesk,zdesk,Zendesk API generated directly from developer.zendesk.com
wtforms-alchemy,WTForms-Alchemy,Generates WTForms forms from SQLAlchemy models.
python-documentcloud,python-documentcloud,A simple Python wrapper for the DocumentCloud API
aquests,aquests,Asynchronous Multiplexing HTTP2/DBO Requests
pysnow,pysnow,ServiceNow HTTP client library
backoff-utils,backoff-utils,Python functions and decorators for various backoff/retry strategies
zoomus,zoomus,Python client library for Zoom.us REST API v1 and v2
sanic-plugins-framework,Sanic-Plugins-Framework,"Doing all of the boilerplate to create a Sanic Plugin, so you don't have to."
mws,mws,Python library for interacting with the Amazon MWS API
django-post-office,django-post-office,"A Django app to monitor and send mail asynchronously, complete with template support."
google-cloud-notebooks,google-cloud-notebooks,Google Cloud Notebooks API client library
asks,asks,asks - async http
dynamorm,dynamorm,DynamORM is a Python object & relation mapping library for Amazon's DynamoDB service.
django-admin-inline-paginator,django-admin-inline-paginator,"The ""Django Admin Inline Paginator"" is simple way to paginate your inline in django admin"
roblox,roblox,ro.py is a modern object-oriented asynchronous Python wrapper for the Roblox web API.
flask-security-too,Flask-Security-Too,Quickly add security features to your Flask application.
django-dynamic-preferences,django-dynamic-preferences,Dynamic global and instance settings for your django project
selectolax,selectolax,Fast HTML5 parser with CSS selectors.
pyuwsgi,pyuwsgi,The uWSGI server
flaskytornado,FlaskyTornado,A microframework based on Tornado and Flask and good intentions
py3dns,py3dns,Python 3 DNS library
plone,Plone,The Plone Content Management System
walkscore-api,walkscore-api,Unofficial Python bindings for the WalkScore API
djangocms-text-ckeditor,djangocms-text-ckeditor,Text Plugin for django CMS with CKEditor support
mars,mars,Polyaxon mars.
arq,arq,Job queues in python with asyncio and redis
html-sanitizer,html-sanitizer,HTML sanitizer
flask-excel,Flask-Excel,A flask extension that provides one application programming interface to read and write data in different excel file formats
srv,srv,Serve a directory with one command
pylsqpack,pylsqpack,Python wrapper for the ls-qpack QPACK library
tuspy,tuspy,A Python client for the tus resumable upload protocol ->  http://tus.io
nameko,nameko,A microservices framework for Python that lets service developers concentrate on application logic and encourages testability.
dnsdiag,dnsdiag,"DNS Measurement, Troubleshooting and Security Auditing Toolset (ping, traceroute)"
twitchio,twitchio,"A powerful, asynchronous Python library for twitch.tv."
django-slowtests,django-slowtests,locate your slowest tests
google-cloud-testutils,google-cloud-testutils,"#################
Python Test Utils
#################

This is a collection of common tools used in system tests of Python client libraries for Google APIs.

We use `nox `__ to instrument our tests. This package is added to each `nox` session as described in each repository's ``noxfile.py``."
dns-blackhole,dns-blackhole,A generic DNS black hole zone generator
algoliasearch-django,algoliasearch-django,Algolia Search integration for Django
djangorestframework-datatables,djangorestframework-datatables,Seamless integration between Django REST framework and Datatables (https://datatables.net)
pyodata,pyodata,Enterprise ready Python OData client
htmllistparse,htmllistparse,Python parser for Apache/nginx-style HTML directory listing.
django-robots,django-robots,"Robots exclusion application for Django, complementing Sitemaps."
django-reversion-compare,django-reversion-compare,Add compare view to django-reversion for comparing two versions of a reversion model.
httpsig,httpsig,Secure HTTP request signing using the HTTP Signature draft specification
pydantic-vault,pydantic-vault,A simple extension to Pydantic BaseSettings that can retrieve secrets from Hashicorp Vault
comiccrawler,comiccrawler,"An image crawler, including multiple modules and GUI."
flask-paginate,flask-paginate,Simple paginate support for flask
django-encrypted-model-fields,django-encrypted-model-fields,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.
django-decorator-include,django-decorator-include,Include Django URL patterns with decorators
pyspf,pyspf,SPF (Sender Policy Framework) implemented in Python.
aiodnsresolver,aiodnsresolver,Pure asyncio Python DNS resolver
django-graphiql-debug-toolbar,django-graphiql-debug-toolbar,Django Debug Toolbar for GraphiQL IDE.
elasticecshandler,ElasticECSHandler,Elasticsearch ECS Log handler for the logging library
google-cloud-private-ca,google-cloud-private-ca,Google Cloud Private Ca API client library
fastapi-users,fastapi-users,Ready-to-use and customizable users management for FastAPI
django-qr-code,django-qr-code,An application that provides tools for displaying QR codes on your Django site.
flask-bouncer,flask-bouncer,Flask Simple Declarative Authentication based on Ryan Bates excellent cancan library
django-admin-honeypot,django-admin-honeypot,A fake Django admin login screen to notify admins of attempted unauthorized access.
djangocms-link,djangocms-link,Adds a link plugin to django CMS
flask-classful,Flask-Classful,Class based views for Flask
py3amf,Py3AMF,AMF support for Python
django-pyodbc-azure,django-pyodbc-azure,Django backend for Microsoft SQL Server and Azure SQL Database using pyodbc
aldryn-django,aldryn-django,An opinionated Django setup bundled as an Aldryn Addon
meinheld,meinheld,High performance asynchronous Python WSGI Web Server
sharepoint,sharepoint,Module and command-line utility to get data out of SharePoint
cloudmesh-common,cloudmesh-common,A set of useful APIs for cloudmesh
appoptics-metrics,appoptics-metrics,Python API Wrapper for AppOptics Metrics
pubchempy,PubChemPy,A simple Python wrapper around the PubChem PUG REST API.
ssh,ssh,SSH2 protocol library
flask-uwsgi-websocket,Flask-uWSGI-WebSocket,High-performance WebSockets for your Flask apps powered by uWSGI.
base58check,base58check,Base58check encoding and decoding of binary data
cheetah,Cheetah,Cheetah is a template engine and code generation tool.
asyncer,asyncer,"Asyncer, async and await, focused on developer experience."
flask-moment,Flask-Moment,Formatting of dates and times in Flask templates using moment.js.
python-social-auth,python-social-auth,Python social authentication made simple.
certbot-dns-cloudflare,certbot-dns-cloudflare,Cloudflare DNS Authenticator plugin for Certbot
